

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
112.680  000.497  000.337: require('nvim-ts-autotag.internal')
112.682  000.592  000.095: require('nvim-ts-autotag')
113.242  000.101  000.101: require('lualine_require')
113.501  000.750  000.650: require('lualine')
115.605  000.085  000.085: require('lualine.utils.mode')
119.044  006.332  005.496: require('config.lualine')
119.656  000.137  000.137: require('symbols-outline.config')
119.659  000.220  000.083: require('symbols-outline.symbols')
119.751  000.090  000.090: require('symbols-outline.ui')
119.835  000.083  000.083: require('symbols-outline.utils.table')
119.976  000.140  000.140: require('symbols-outline.utils.lsp_utils')
120.055  000.078  000.078: require('symbols-outline.folding')
120.060  000.778  000.167: require('symbols-outline.parser')
120.141  000.081  000.081: require('symbols-outline.providers.init')
120.255  000.112  000.112: require('symbols-outline.writer')
120.358  000.102  000.102: require('symbols-outline.utils.init')
120.455  000.096  000.096: require('symbols-outline.view')
120.462  001.412  000.244: require('symbols-outline')
120.699  000.188  000.188: require('symbols-outline.preview')
121.790  000.170  000.170: require('plenary.strings')
121.871  000.080  000.080: require('telescope.deprecated')
122.425  000.186  000.186: require('plenary.log')
122.436  000.270  000.084: require('telescope.log')
122.843  000.089  000.089: require('telescope.state')
122.848  000.412  000.323: require('telescope.utils')
122.853  000.981  000.299: require('telescope.sorters')
123.836  002.459  001.229: require('telescope.config')
124.299  000.197  000.197: require('plenary.window.border')
124.374  000.073  000.073: require('plenary.window')
124.449  000.073  000.073: require('plenary.popup.utils')
124.451  000.612  000.269: require('plenary.popup')
124.574  000.122  000.122: require('telescope.pickers.scroller')
124.668  000.093  000.093: require('telescope.actions.state')
124.792  000.123  000.123: require('telescope.actions.utils')
125.121  000.161  000.161: require('telescope.actions.mt')
125.132  000.339  000.178: require('telescope.actions.set')
125.423  000.158  000.158: require('telescope.config.resolve')
125.425  000.292  000.135: require('telescope.pickers.entry_display')
125.513  000.086  000.086: require('telescope.from_entry')
125.603  004.849  000.722: require('telescope.actions')
125.858  000.097  000.097: require('telescope._extensions')
125.860  000.217  000.120: require('telescope')
126.079  000.110  000.110: require('telescope.previewers.previewer')
126.375  000.276  000.276: require('telescope.previewers.term_previewer')
127.288  000.088  000.088: require('plenary.context_manager')
127.440  000.077  000.077: require('nvim-treesitter.statusline')
127.582  000.140  000.140: require('nvim-treesitter.query_predicates')
127.584  000.294  000.077: require('nvim-treesitter')
127.588  000.567  000.185: require('telescope.previewers.utils')
128.322  000.733  000.733: require('plenary.filetype')
128.349  001.972  000.672: require('telescope.previewers.buffer_previewer')
128.352  002.489  000.130: require('telescope.previewers')
128.835  008.131  000.577: require('config.telescope')
130.064  000.246  000.246: require('nvim-tree.notify')
130.069  000.355  000.109: require('nvim-tree.events')
130.412  000.118  000.118: require('nvim-tree.log')
130.742  000.083  000.083: require('nvim-tree.iterators.node-iterator')
130.768  000.354  000.271: require('nvim-tree.utils')
130.893  000.125  000.125: require('nvim-tree.git.utils')
131.042  000.147  000.147: require('nvim-tree.git.runner')
131.180  000.137  000.137: require('nvim-tree.watcher')
131.286  000.106  000.106: require('nvim-tree.explorer.node')
131.290  001.138  000.152: require('nvim-tree.git')
131.386  000.095  000.095: require('nvim-tree.explorer.watch')
131.574  000.089  000.089: require('nvim-tree.explorer.node-builders')
131.709  000.134  000.134: require('nvim-tree.explorer.sorters')
131.828  000.118  000.118: require('nvim-tree.explorer.filters')
132.283  000.317  000.317: require('nvim-tree.view')
132.285  000.457  000.140: require('nvim-tree.live-filter')
132.287  000.900  000.103: require('nvim-tree.explorer.explore')
132.434  000.146  000.146: require('nvim-tree.explorer.reload')
132.436  002.366  000.087: require('nvim-tree.explorer')
132.439  002.795  000.074: require('nvim-tree.core')
132.586  000.147  000.147: require('nvim-tree.diagnostics')
132.728  000.069  000.069: require('nvim-tree.modified')
132.730  000.143  000.073: require('nvim-tree.renderer.components.modified')
132.847  000.116  000.116: require('nvim-tree.renderer.components.padding')
132.941  000.093  000.093: require('nvim-tree.renderer.components.icons')
133.049  000.107  000.107: require('nvim-tree.renderer.components.full-name')
133.145  000.095  000.095: require('nvim-tree.renderer.help')
133.281  000.135  000.135: require('nvim-tree.renderer.components.git')
133.511  000.229  000.229: require('nvim-tree.renderer.builder')
133.608  000.095  000.095: require('nvim-tree.marks')
133.611  004.082  000.127: require('nvim-tree.renderer')
133.691  000.077  000.077: require('nvim-tree.actions.tree-modifiers.collapse-all')
133.755  000.063  000.063: require('nvim-tree.actions.root.dir-up')
133.854  000.098  000.098: require('nvim-tree.actions.root.change-dir')
133.943  000.088  000.088: require('nvim-tree.actions.reloaders.reloaders')
134.030  000.086  000.086: require('nvim-tree.actions.finders.find-file')
134.031  004.651  000.157: require('nvim-tree.lib')
134.146  000.113  000.113: require('nvim-tree.colors')
134.232  000.085  000.085: require('nvim-tree.legacy')
134.433  000.200  000.200: require('nvim-tree.actions.fs.copy-paste')
134.644  000.092  000.092: require('nvim-tree.actions.tree-modifiers.expand-all')
134.715  000.070  000.070: require('nvim-tree.actions.tree-modifiers.toggles')
134.826  000.109  000.109: require('nvim-tree.actions.fs.create-file')
134.927  000.100  000.100: require('nvim-tree.actions.fs.rename-file')
135.046  000.118  000.118: require('nvim-tree.actions.fs.trash')
135.161  000.113  000.113: require('nvim-tree.actions.fs.remove-file')
135.236  000.074  000.074: require('nvim-tree.actions.moves.parent')
135.313  000.076  000.076: require('nvim-tree.actions.moves.sibling')
135.393  000.078  000.078: require('nvim-tree.actions.moves.item')
135.490  000.094  000.094: require('nvim-tree.actions.finders.search-node')
135.554  000.063  000.063: require('nvim-tree.actions.node.run-command')
135.648  000.094  000.094: require('nvim-tree.actions.node.file-popup')
135.738  000.089  000.089: require('nvim-tree.actions.node.system-open')
135.832  000.078  000.078: require('nvim-tree.marks.bulk-move')
135.834  001.399  000.150: require('nvim-tree.actions.dispatch')
135.852  006.957  000.510: require('nvim-tree')
136.275  000.231  000.231: require('nvim-tree.actions')
136.489  000.210  000.210: require('nvim-tree.actions.node.open-file')
136.936  000.099  000.099: require('nvim-tree.marks.navigation')
136.938  000.266  000.168: require('nvim-tree.api')
136.943  000.418  000.151: require('nvim-tree.keymap')
137.657  000.584  000.584: require('nvim-web-devicons')
138.758  009.920  001.520: require('config.nvim-tree')
139.334  000.112  000.112: require('zen-mode.util')
139.353  000.245  000.132: require('zen-mode.config')
139.486  000.132  000.132: require('zen-mode.plugins')
139.490  000.603  000.226: require('zen-mode.view')
139.492  000.730  000.127: require('zen-mode')
140.097  000.157  000.157: require('colorizer/nvim')
140.330  000.232  000.232: require('colorizer/trie')
140.468  000.939  000.551: require('colorizer')
141.574  000.200  000.200: require('null-ls.utils')
141.585  000.325  000.125: require('null-ls.config')
141.694  000.057  000.057: require('null-ls.helpers.cache')
141.843  000.148  000.148: require('null-ls.helpers.diagnostics')
141.897  000.053  000.053: require('null-ls.helpers.formatter_factory')
142.194  000.081  000.081: require('null-ls.logger')
142.285  000.089  000.089: require('null-ls.state')
142.289  000.390  000.220: require('null-ls.helpers.generator_factory')
142.493  000.092  000.092: require('null-ls.helpers.command_resolver')
142.495  000.205  000.113: require('null-ls.helpers.make_builtin')
142.570  000.074  000.074: require('null-ls.helpers.range_formatting_args_factory')
142.571  000.984  000.058: require('null-ls.helpers')
143.019  000.089  000.089: require('null-ls.methods')
143.021  000.241  000.152: require('null-ls.diagnostics')
143.027  000.455  000.214: require('null-ls.sources')
143.093  000.065  000.065: require('null-ls.builtins')
143.095  001.931  000.103: require('null-ls')
143.169  000.073  000.073: require('null-ls.builtins.formatting.stylua')
143.260  000.089  000.089: require('null-ls.builtins.formatting.prettierd')
143.325  000.063  000.063: require('null-ls.builtins.completion.spell')
143.417  000.089  000.089: require('null-ls.builtins.diagnostics.tsc')
143.486  000.067  000.067: require('null-ls.builtins.code_actions.refactoring')
143.827  000.180  000.180: require('null-ls.client')
143.852  092.291  015.261: sourcing /home/jordanrhea/.config/nvim/plugin/packer_compiled.lua
144.090  000.052  000.052: sourcing /usr/share/nvim/runtime/plugin/man.lua
144.100  001.186: loading rtp plugins
144.384  000.025  000.025: sourcing /home/jordanrhea/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
